id,language,text,stars,sampling_source,target_candidate,quality,price,delivery,service
fr_0973664,fr,"Vendeur pas sérieux

Jamais reçu malgré de nombreuses relances mails",1,enriched,service,absent,absent,négatif,négatif
en_0797614,en,"Flakes off by the end of the day

Wipes off with a wet washcloth but I had particles under my eyes by 9pm. Not great for contact users. I love the Blinc tube mascara, but I was trying to save a little money. This is not a good replacement.",1,enriched,service,négatif,absent,absent,absent
en_0262449,en,"False advertisement

Would give 0 stars if possible. Bought this for my niece and would never give such a hunk of junk as a gift. It was advertised as Sterling silver and nowhere on the package or item say's 925. Very disappointed. I ordered a beautiful silver necklace and received costume jewelry. I've already started the return process",1,enriched,delivery,négatif,absent,négatif,absent
fr_0997987,fr,"Gadget qui ne fonctionne pas

Brumisateur ne fonctionne pas du tout et ventilateur très bruyant Beaucoup trop cher pour ce qui n est en fait qu un gadget",1,enriched,price,négatif,négatif,absent,absent
en_0658523,en,"Seller Issue

Had to return but the seller was unethical but Amazon did stand behind the customer with the proof provided",3,enriched,service,absent,absent,absent,négatif
en_0393316,en,"Fake, broke in half (Seller is Quality Area)

I got mine from 'Quality Area' Broke in half on the third use, just outside the return window. This appears to be a cheap counterfeit and not the OE Vitamix Tool.",1,enriched,service,négatif,neutre,absent,absent
fr_0372156,fr,"niquel

j'ai recu le livre rapidement et dans un emballage parfait. je recommande le vendeur mais aussi l'écrivain pour ce beau petit livre",5,enriched,service,positif,absent,positif,positif
fr_0549275,fr,"Lamentable!

Colis reçu sans qu'on se soit donné la peine de mettre du papier bulle! Je pense que c'est tout de même la base quand on envoie ce type de produit. Le livre est arrivé complètement déformé! Vive le professionnalisme!",1,enriched,delivery,négatif,absent,négatif,absent
fr_0288058,fr,"bien et jolie

correct sur prix et qualité",4,enriched,price,positif,positif,absent,absent
fr_0315053,fr,"Bien

Sur le lot 1 cartouche noir ne veut pas s'aligner dans l'imprimante ( pas de reconnaissance). Le vendeur très professionnel ma envoyé une nouvelle cartouche noir sans problème.",4,enriched,service,négatif,absent,absent,positif
en_0303904,en,"Good lookibg

Over priced, good customer service",3,enriched,service,absent,négatif,absent,positif
en_0218592,en,"Anything but

Super absorbency is what the product is sold as, yet is anything but super absorbing. For someone who is looking to find something that can super absorb for more than 4 hours this is not it. Stick with name brand. The packaging is hard to get into. The applicator and plunger are difficult compared to other brands. You have to grip the sides just to detach the two of you know what I mean. These probably last two hours. Got these last minute and am not stuck with them. Will only use them on lighter days. Not worth it unless one wants a mess and doesn’t stay on top of them. For those who suffer from blood issues don’t bother.",2,enriched,price,absent,négatif,neutre,absent
fr_0453791,fr,"Traduction en français svp

Reçue comme prévu, semble fonctionner, mais je n’ai pas réussi à la faire fonctionner : descriptif en anglais pas très compréhensible ! Ça serait plus correct de la part du vendeur de joindre un mode d’emploi en français",3,enriched,service,neutre,absent,neutre,absent
fr_0408294,fr,"Recommandé sans hésiter

Je l’ai offerte et elle a énormément plus, la couleur est très sympa, la pochette est fine, et la matière velours intérieur est génial ! Rapport qualité prix très bon !",5,enriched,price,neutre,neutre,absent,absent
fr_0812853,fr,"Extracteur de goujon

Un écrou de vilebrequin où la tête était abimée et bien serré. Évitez d'utiliser la clé à choc car risque de casser l'extracteur. Par contre SAV impeccable et réactif. Je conseille l'achat de ce coffret.",4,enriched,service,absent,absent,absent,positif
en_0979104,en,"Easy to clean nose pieces discontinued?

Wanted the inline nose pieces but no longer available. Seller tried to resolve but desired parts no longer available.",4,enriched,service,neutre,absent,absent,neutre
fr_0563719,fr,"C'est beau la technologie !

J'avoue que c'était avec un grand scepticisme que je décidais d'acheter ces produits. Seul le prix me disait que le risque était limité, pour le reste, je n'y croyais absolument pas. Et puis, une fois installé, ce système s'est avéré redoutable. C'est encore pire qu'avant, en plus, maintenant, les chats se moquent de moi ! Mais ils rigolent !!! Trêve de plaisanterie, aucun effet.",2,natural,none,positif,neutre,absent,absent
fr_0430259,fr,"Aiguille manquante...

Manque l'aiguille donc pas utilisable... J'attends des nouvelle du vendeur, je remettrais les étoiles quand ce sera résolu, sinon ça a l'air de qualité...",3,enriched,service,négatif,absent,absent,neutre
en_0685546,en,"Need better package protection

Nice mug, the reason for the review it’s because when I open the package one of them was broken, if you buy something fragile they should put more protection or maybe a note in the box that says it’s fragile,",1,enriched,delivery,négatif,absent,neutre,absent
fr_0894019,fr,"trés bien

Un peu déçu par rapport a mon galaxy note 4 . Mais service livraison au top et vendeur efficace.",4,enriched,service,négatif,absent,positif,positif
en_0613426,en,"Nice cardigan

Very pretty and quality for the price. Cute with jeans.",5,enriched,price,positif,positif,absent,absent
fr_0700763,fr,"Déçu !!!

Déçu non seulement reçu avec du retard mais en plus la baguette magique est arrivé casse à fille était vraiment déçu !!",1,enriched,delivery,absent,absent,négatif,absent
en_0155146,en,"I like this product

I like this product, it works very well for me, However, placed 2 orders with the seller, total 12 bottles, all will be expired within 2 months.",2,enriched,service,neutre,absent,absent,absent
en_0370521,en,"Pretty good!

This is a very decent set of taps for the price. They are not made to the tightest possible tolerances but work well enough for my purposes being used for low stress joining of pla plastic parts. I bought a different set from a different seller, for more money and they arrived loose in a ziploc, this set came in a nice case.",4,enriched,service,absent,positif,neutre,absent
